id,starthub_id,endhub_id,span,velocity,direction,type
152,ZN0548,金沙江路内圈出口00,0,30,匝道,主线-匝道
155,金沙江路外圈入口06,金沙江路外圈入口00,70,30,匝道,匝道
156,金沙江路外圈入口00,ZW0541,0,30,匝道,匝道-主线
157,金沙江路外圈出口00,金沙江路外圈出口04,50,30,匝道,匝道
158,ZW0592,金沙江路外圈出口00,0,30,匝道,主线-匝道
159,金NS001,金NS006,60,30,匝道,匝道
160,ZN0683,金NS001,0,30,匝道,主线-匝道
161,铜WX001,铜WX007,70,30,匝道,匝道
162,ZW0668,铜WX001,0,30,匝道,主线-匝道
163,顾戴路入口02,顾戴路入口00,30,30,匝道,匝道
164,顾戴路入口00,ZN0145,0,30,匝道,匝道-主线
165,顾戴路出口00,顾戴路出口02,30,30,匝道,匝道
166,ZW0145,顾戴路出口00,0,30,匝道,主线-匝道
167,黄NX001,黄NX011,110,30,匝道,匝道
168,ZN1145,黄NX001,0,30,匝道,主线-匝道
169,龙川路入口00,龙川路入口01,20,30,匝道,匝道
171,龙川路出口00,龙川路出口02,30,30,匝道,匝道
