id,node_id,hub_id,span,span2hub,direction,type
125,ZN0092,ZN1308,30,2760,内圈,主线
126,ZN0093,ZN1308,30,2790,内圈,主线
127,ZN0094,ZN1308,30,2820,内圈,主线
128,ZN0095,ZN1308,30,2850,内圈,主线
129,ZN0096,ZN1308,30,2880,内圈,主线
130,ZN0097,ZN1308,30,2910,内圈,主线
131,ZN0098,ZN1308,30,2940,内圈,主线
132,ZN0099,ZN1308,30,2970,内圈,主线
133,ZN0100,ZN1308,30,3000,内圈,主线
134,ZN0101,ZN1308,30,3030,内圈,主线
135,ZN0102,ZN1308,30,3060,内圈,主线
136,ZN0103,ZN1308,30,3090,内圈,主线
137,ZN0104,ZN1308,30,3120,内圈,主线
138,ZN0105,ZN1308,30,3150,内圈,主线
139,ZN0106,ZN1308,30,3180,内圈,主线
140,ZN0107,ZN1308,30,3210,内圈,主线
141,ZN0108,ZN1308,30,3240,内圈,主线
142,ZN0109,ZN1308,30,3270,内圈,主线
143,ZN0110,ZN1308,30,3300,内圈,主线
144,ZN0111,ZN1308,30,3330,内圈,主线
145,ZN0112,ZN1308,30,3360,内圈,主线
146,ZN0113,ZN1308,30,3390,内圈,主线
147,ZN0114,ZN1308,30,3420,内圈,主线
148,ZN0115,ZN1308,30,3450,内圈,主线
149,ZN0116,ZN1308,30,3480,内圈,主线
150,ZN0117,ZN1308,30,3510,内圈,主线
151,ZN0118,ZN1308,30,3540,内圈,主线
152,ZN0119,ZN1308,30,3570,内圈,主线
153,ZN0120,ZN1308,30,3600,内圈,主线
154,ZN0121,ZN1308,30,3630,内圈,主线
155,ZN0122,ZN1308,30,3660,内圈,主线
156,ZN0123,ZN1308,30,3690,内圈,主线
157,ZN0124,ZN1308,30,3720,内圈,主线
158,ZN0125,ZN1308,30,3750,内圈,主线
159,ZN0126,ZN1308,30,3780,内圈,主线
160,ZN0127,ZN1308,30,3810,内圈,主线
161,ZN0128,ZN1308,30,3840,内圈,主线
162,ZN0129,ZN1308,30,3870,内圈,主线
163,ZN0130,ZN1308,30,3900,内圈,主线
164,ZN0131,ZN1308,30,3930,内圈,主线
165,ZN0132,ZN1308,30,3960,内圈,主线
166,ZN0133,ZN1308,30,3990,内圈,主线
167,ZN0134,ZN1308,30,4020,内圈,主线
168,ZN0135,ZN1308,30,4050,内圈,主线
169,ZN0136,ZN1308,30,4080,内圈,主线
170,ZN0137,ZN1308,30,4110,内圈,主线
171,ZN0138,ZN1308,30,4140,内圈,主线
172,ZN0139,ZN1308,30,4170,内圈,主线
173,ZN0140,ZN1308,30,4200,内圈,主线
174,ZN0141,ZN1308,30,4230,内圈,主线
175,ZN0142,ZN1308,30,4260,内圈,主线
176,ZN0143,ZN1308,30,4290,内圈,主线
177,ZN0144,ZN1308,30,4320,内圈,主线
178,ZN0145,ZN1308,30,4350,内圈,主线
179,ZN0146,ZN1308,30,4380,内圈,主线
180,ZN0147,ZN1308,30,4410,内圈,主线
181,ZN0148,ZN1308,30,4440,内圈,主线
182,ZN0149,ZN1308,30,4470,内圈,主线
183,ZN0150,ZN1308,30,4500,内圈,主线
184,ZN0151,ZN1308,30,4530,内圈,主线
185,ZN0152,ZN1308,30,4560,内圈,主线
186,ZN0153,ZN1308,30,4590,内圈,主线
187,ZN0154,ZN1308,30,4620,内圈,主线
188,ZN0155,ZN1308,30,4650,内圈,主线
189,ZN0156,ZN1308,30,4680,内圈,主线
190,ZN0157,ZN1308,30,4710,内圈,主线
191,ZN0158,ZN1308,30,4740,内圈,主线
192,ZN0159,ZN1308,30,4770,内圈,主线
193,ZN0160,ZN1308,30,4800,内圈,主线
194,ZN0161,ZN1308,30,4830,内圈,主线
195,ZN0162,ZN1308,30,4860,内圈,主线
196,ZN0163,ZN1308,30,4890,内圈,主线
197,ZN0164,ZN1308,30,4920,内圈,主线
198,ZN0165,ZN1308,30,4950,内圈,主线
199,ZN0166,ZN1308,30,4980,内圈,主线
200,ZN0167,ZN1308,30,5010,内圈,主线
201,ZN0168,ZN1308,30,5040,内圈,主线
202,ZN0169,ZN1308,30,5070,内圈,主线
203,ZN0170,ZN1308,30,5100,内圈,主线
204,ZN0171,ZN1308,30,5130,内圈,主线
205,ZN0172,ZN1308,30,5160,内圈,主线
206,ZN0173,ZN1308,30,5190,内圈,主线
207,ZN0174,ZN1308,30,5220,内圈,主线
208,ZN0175,ZN1308,30,5250,内圈,主线
209,ZN0176,ZN1308,30,5280,内圈,主线
210,ZN0177,ZN1308,30,5310,内圈,主线
211,ZN0178,ZN1308,30,5340,内圈,主线
212,ZN0179,ZN1308,30,5370,内圈,主线
213,ZN0180,ZN1308,30,5400,内圈,主线
214,ZN0181,ZN1308,30,5430,内圈,主线
215,ZN0182,ZN1308,30,5460,内圈,主线
216,ZN0183,ZN1308,30,5490,内圈,主线
217,ZN0184,ZN1308,30,5520,内圈,主线
218,ZN0185,ZN1308,30,5550,内圈,主线
219,ZN0186,ZN1308,30,5580,内圈,主线
220,ZN0187,ZN1308,30,5610,内圈,主线
221,ZN0188,ZN1308,30,5640,内圈,主线
222,ZN0189,ZN1308,30,5670,内圈,主线
223,ZN0190,ZN1308,30,5700,内圈,主线
224,ZN0191,ZN1308,30,5730,内圈,主线
225,ZN0192,ZN1308,30,5760,内圈,主线
226,ZN0193,ZN1308,30,5790,内圈,主线
227,ZN0194,ZN1308,30,5820,内圈,主线
228,ZN0195,ZN1308,30,5850,内圈,主线
229,ZN0196,ZN1308,30,5880,内圈,主线
230,ZN0197,ZN1308,30,5910,内圈,主线
231,ZN0198,ZN1308,30,5940,内圈,主线
232,ZN0199,ZN1308,30,5970,内圈,主线
233,ZN0200,ZN1308,30,6000,内圈,主线
234,ZN0201,ZN1308,30,6030,内圈,主线
235,ZN0202,ZN1308,30,6060,内圈,主线
236,ZN0203,ZN1308,30,6090,内圈,主线
237,ZN0204,ZN1308,30,6120,内圈,主线
238,ZN0205,ZN1308,30,6150,内圈,主线
239,ZN0206,ZN1308,30,6180,内圈,主线
240,ZN0207,ZN1308,30,6210,内圈,主线
241,ZN0208,ZN1308,30,6240,内圈,主线
242,ZN0209,ZN1308,30,6270,内圈,主线
243,ZN0210,ZN1308,30,6300,内圈,主线
244,ZN0211,ZN1308,30,6330,内圈,主线
245,ZN0212,ZN1308,30,6360,内圈,主线
246,ZN0213,ZN1308,30,6390,内圈,主线
247,ZN0214,ZN1308,30,6420,内圈,主线
248,ZN0215,ZN1308,30,6450,内圈,主线
249,ZN0216,ZN1308,30,6480,内圈,主线
250,ZN0217,ZN1308,30,6510,内圈,主线
251,ZN0218,ZN1308,30,6540,内圈,主线
252,ZN0219,ZN1308,30,6570,内圈,主线
253,ZN0220,ZN1308,30,6600,内圈,主线
254,ZN0221,ZN1308,30,6630,内圈,主线
255,ZN0222,ZN1308,30,6660,内圈,主线
256,ZN0223,ZN1308,30,6690,内圈,主线
257,ZN0224,ZN1308,30,6720,内圈,主线
258,ZN0225,ZN1308,30,6750,内圈,主线
259,ZN0226,ZN1308,30,6780,内圈,主线
260,ZN0227,ZN1308,30,6810,内圈,主线
261,ZN0228,ZN1308,30,6840,内圈,主线
262,ZN0229,ZN1308,30,6870,内圈,主线
263,ZN0230,ZN1308,30,6900,内圈,主线
264,ZN0231,ZN1308,30,6930,内圈,主线
265,ZN0232,ZN1308,30,6960,内圈,主线
266,ZN0233,ZN1308,30,6990,内圈,主线
267,ZN0234,ZN1308,30,7020,内圈,主线
268,ZN0235,ZN1308,30,7050,内圈,主线
269,ZN0236,ZN1308,30,7080,内圈,主线
270,ZN0237,ZN1308,30,7110,内圈,主线
271,ZN0238,ZN1308,30,7140,内圈,主线
272,ZN0239,ZN1308,30,7170,内圈,主线
273,ZN0240,ZN1308,30,7200,内圈,主线
274,ZN0241,ZN1308,30,7230,内圈,主线
275,ZN0242,ZN1308,30,7260,内圈,主线
276,ZN0243,ZN1308,30,7290,内圈,主线
277,ZN0244,ZN1308,30,7320,内圈,主线
278,ZN0245,ZN1308,30,7350,内圈,主线
279,ZN0246,ZN1308,30,7380,内圈,主线
280,ZN0247,ZN1308,30,7410,内圈,主线
281,ZN0248,ZN1308,30,7440,内圈,主线
282,ZN0249,ZN1308,30,7470,内圈,主线
283,ZN0250,ZN1308,30,7500,内圈,主线
284,ZN0251,ZN1308,30,7530,内圈,主线
285,ZN0252,ZN1308,30,7560,内圈,主线
286,ZN0253,ZN1308,30,7590,内圈,主线
287,ZN0254,ZN1308,30,7620,内圈,主线
288,ZN0255,ZN1308,30,7650,内圈,主线
289,ZN0256,ZN1308,30,7680,内圈,主线
290,ZN0257,ZN1308,30,7710,内圈,主线
291,ZN0258,ZN1308,30,7740,内圈,主线
292,ZN0259,ZN1308,30,7770,内圈,主线
293,ZN0260,ZN1308,30,7800,内圈,主线
294,ZN0261,ZN1308,30,7830,内圈,主线
295,ZN0262,ZN1308,30,7860,内圈,主线
296,ZN0263,ZN1308,30,7890,内圈,主线
297,ZN0264,ZN1308,30,7920,内圈,主线
298,ZN0265,ZN1308,30,7950,内圈,主线
299,ZN0266,ZN1308,30,7980,内圈,主线
300,ZN0267,ZN1308,30,8010,内圈,主线
301,ZN0268,ZN1308,30,8040,内圈,主线
302,ZN0269,ZN1308,30,8070,内圈,主线
303,ZN0270,ZN1308,30,8100,内圈,主线
304,ZN0271,ZN1308,30,8130,内圈,主线
305,ZN0272,ZN1308,30,8160,内圈,主线
306,ZN0273,ZN1308,30,8190,内圈,主线
307,ZN0274,ZN1308,30,8220,内圈,主线
308,ZN0275,ZN1308,30,8250,内圈,主线
309,ZN0276,ZN1308,30,8280,内圈,主线
310,ZN0277,ZN1308,30,8310,内圈,主线
311,ZN0278,ZN1308,30,8340,内圈,主线
312,ZN0279,ZN1308,30,8370,内圈,主线
313,ZN0280,ZN1308,30,8400,内圈,主线
314,ZN0281,ZN1308,30,8430,内圈,主线
315,ZN0282,ZN1308,30,8460,内圈,主线
316,ZN0283,ZN1308,30,8490,内圈,主线
317,ZN0284,ZN1308,30,8520,内圈,主线
318,ZN0285,ZN1308,30,8550,内圈,主线
319,ZN0286,ZN1308,30,8580,内圈,主线
320,ZN0287,ZN1308,30,8610,内圈,主线
321,ZN0288,ZN1308,30,8640,内圈,主线
322,ZN0289,ZN1308,30,8670,内圈,主线
323,ZN0290,ZN1308,30,8700,内圈,主线
324,ZN0291,ZN1308,30,8730,内圈,主线
325,ZN0292,ZN1308,30,8760,内圈,主线
326,ZN0293,ZN1308,30,8790,内圈,主线
327,ZN0294,ZN1308,30,8820,内圈,主线
328,ZN0295,ZN1308,30,8850,内圈,主线
329,ZN0296,ZN1308,30,8880,内圈,主线
330,ZN0297,ZN1308,30,8910,内圈,主线
331,ZN0298,ZN1308,30,8940,内圈,主线
332,ZN0299,ZN1308,30,8970,内圈,主线
333,ZN0300,ZN1308,30,9000,内圈,主线
334,ZN0301,ZN1308,30,9030,内圈,主线
335,ZN0302,ZN1308,30,9060,内圈,主线
336,ZN0303,ZN1308,30,9090,内圈,主线
337,ZN0304,ZN1308,30,9120,内圈,主线
338,ZN0305,ZN1308,30,9150,内圈,主线
339,ZN0306,ZN1308,30,9180,内圈,主线
340,ZN0307,ZN1308,30,9210,内圈,主线
341,ZN0308,ZN1308,30,9240,内圈,主线
342,ZN0309,ZN1308,30,9270,内圈,主线
343,ZN0310,ZN1308,30,9300,内圈,主线
344,ZN0311,ZN1308,30,9330,内圈,主线
345,ZN0312,ZN1308,30,9360,内圈,主线
346,ZN0313,ZN1308,30,9390,内圈,主线
347,ZN0314,ZN1308,30,9420,内圈,主线
348,ZN0315,ZN1308,30,9450,内圈,主线
349,ZN0316,ZN1308,30,9480,内圈,主线
350,ZN0317,ZN1308,30,9510,内圈,主线
351,ZN0318,ZN1308,30,9540,内圈,主线
352,ZN0319,ZN1308,30,9570,内圈,主线
353,ZN0320,ZN1308,30,9600,内圈,主线
354,ZN0321,ZN1308,30,9630,内圈,主线
355,ZN0322,ZN1308,30,9660,内圈,主线
356,ZN0323,ZN1308,30,9690,内圈,主线
357,ZN0324,ZN1308,30,9720,内圈,主线
358,ZN0325,ZN1308,30,9750,内圈,主线
359,ZN0326,ZN1308,30,9780,内圈,主线
360,ZN0327,ZN1308,30,9810,内圈,主线
361,ZN0328,ZN1308,30,9840,内圈,主线
362,ZN0329,ZN1308,30,9870,内圈,主线
363,ZN0330,ZN1308,30,9900,内圈,主线
364,ZN0331,ZN1308,30,9930,内圈,主线
365,ZN0332,ZN1308,30,9960,内圈,主线
366,ZN0333,ZN1308,30,9990,内圈,主线
367,ZN0334,ZN1308,30,10020,内圈,主线
368,ZN0335,ZN1308,30,10050,内圈,主线
369,ZN0336,ZN1308,30,10080,内圈,主线
370,ZN0337,ZN1308,30,10110,内圈,主线
371,ZN0338,ZN1308,30,10140,内圈,主线
372,ZN0339,ZN1308,30,10170,内圈,主线
373,ZN0340,ZN1308,30,10200,内圈,主线
374,ZN0341,ZN1308,30,10230,内圈,主线
